"Campaign name","Ad set name","Ad name","Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (JPY)","Cost per result",Starts,Ends,"Purchases rate per link clicks","Purchases rate per landing page views","CPC (cost per link click)","CPM (cost per 1,000 impressions)","Cost per purchase",Purchases,"Link clicks","Cost per unique link click","Cost per add to cart","Cost per checkout initiated","Reporting starts","Reporting ends"
,,,,,168604,253451,1.50323243,,mixed,,129056,,,,0.56834328,1.42450142,18.33702756,509.19507124,3226.4,40,7038,20.34620842,1843.65714286,2264.14035088,2026-01-01,2026-01-15
Sales,"Web Audience Retarg","Flexible 3 Groups",not_delivering,ad,0,0,0,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",2,0,0,2025-11-27,2026-01-13,0,0,,,0,2,,,0,0,2026-01-01,2026-01-15
Sales,"Web Audience Retarg","Poster [Redirect link] + related Media",not_delivering,ad,0,0,0,"7-day click, 1-day view, or 1-day engaged-view",,,0,,2025-11-27,2026-01-13,0,0,,,,,,,,0,2026-01-01,2026-01-15
Sales,"Zaiko Test - Account Engagers - Broad","Black and white photo",not_delivering,ad,0,0,0,"7-day click, 1-day view, or 1-day engaged-view",,,0,,2025-12-08,2025-12-31,0,0,,,,,,,,0,2026-01-01,2026-01-15
"ABOS Traffic - #2","Broad JP Cities + JD Interest","Hanging sketches - Copy",not_delivering,ad,2,2,1,"7-day click or 1-day view",,,0,,2026-01-09,2026-01-13,0,0,,0,,,,,,,2026-01-01,2026-01-15
"ABOS Traffic 2.0","Broad JP Cities + JD Interest","JD with Skull Confetti - Copy",active,ad,1,1,1,"7-day click or 1-day view",,,0,,2026-01-09,Ongoing,0,0,,0,,,,,,,2026-01-01,2026-01-15
"ABOS Traffic 2.0","Broad JP Cities + JD Interest","JD Desk - Red Curtain - Copy",active,ad,2,2,1,"7-day click or 1-day view",,,0,,2026-01-09,Ongoing,0,0,,0,,,,,,,2026-01-01,2026-01-15
"ABOS Traffic 2.0","JD Deep Interest","JD with Skull Confetti - Copy",active,ad,1,1,1,"7-day click or 1-day view",,,0,,2026-01-09,Ongoing,0,0,,0,,,,,,,2026-01-01,2026-01-15
"ABOS Traffic 2.0","Broad JP Cities","JD Photography - Copy",active,ad,5,5,1,"7-day click or 1-day view",,,0,,2026-01-09,Ongoing,0,0,,0,,,,,,,2026-01-01,2026-01-15
"ABOS Traffic - #2","Broad JP Cities + JD Interest","JD Photograph with graphics - Copy",not_delivering,ad,3,3,1,"7-day click or 1-day view",,,0,,2026-01-09,2026-01-13,0,0,,0,,,,,,,2026-01-01,2026-01-15
"ABOS Traffic - #2","Broad JP Cities + JD Interest","JD announcement date post",not_delivering,ad,4,4,1,"7-day click or 1-day view",,,0,,2026-01-09,2026-01-13,0,0,,0,,,,,,,2026-01-01,2026-01-15
"ABOS Traffic - #2","Broad JP Cities","Hanging sketches - Copy",not_delivering,ad,2,2,1,"7-day click or 1-day view",,,0,,2025-12-26,2026-01-13,0,0,,0,,,,,,,2026-01-01,2026-01-15
"ABOS Traffic 2.0","Broad JP Cities + JD Interest","JD Photograph with graphics - Copy",active,ad,2,2,1,"7-day click or 1-day view",,,0,,2026-01-09,Ongoing,0,0,,0,,,,,,,2026-01-01,2026-01-15
"ABOS Traffic 2.0","JD Deep Interest","JD Desk - Red Curtain - Copy",active,ad,3,3,1,"7-day click or 1-day view",,,0,,2026-01-09,Ongoing,0,0,,0,,,,,,,2026-01-01,2026-01-15
"ABOS Traffic 2.0","Broad JP Cities","JD with Skull Confetti - Copy",active,ad,11,11,1,"7-day click or 1-day view","Landing page views",1,0,0,2026-01-09,Ongoing,0,0,0,0,,,3,0,,,2026-01-01,2026-01-15
