"Campaign name","Ad set name","Ad name",Day,"Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (JPY)","Cost per result",Starts,Ends,"Purchases rate per link clicks","Purchases rate per landing page views","CPC (cost per link click)","CPM (cost per 1,000 impressions)","Cost per purchase",Purchases,"Link clicks","Cost per unique link click","Cost per add to cart","Cost per checkout initiated","Landing page views","Cost per landing page view","Landing page views rate per link clicks","Unique link clicks","Unique CTR (link click-through rate)","Reporting starts","Reporting ends"
,,,,,,352274,1025546,2.91121684,,mixed,,926240,,,,2.74712465,3.21495157,35.99005284,903.16767849,1310.0990099,707,25736,45.91938922,585.11686671,621.63758389,21991,42.1190487,85.44839913,20171,5.7259406,2025-12-01,2025-12-31
Sales,"Web Audience Retarg","Flexible 3 Groups",2025-12-31,not_delivering,ad,0,0,0,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",2,0,0,2025-11-27,2026-01-13,0,0,,,0,2,,,0,0,,,0,,,2025-12-31,2025-12-31
"ABOS Sales Campaign","Retarg [engagers] - Jan 14",Poster,2025-12-31,not_delivering,ad,0,0,0,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",1,0,0,2025-12-06,2026-01-19,0,0,,,0,1,,,0,0,,,0,,,2025-12-31,2025-12-31
Sales,"Web Audience Retarg","Poster [Redirect link] + related Media",2025-12-31,not_delivering,ad,0,0,0,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",1,0,0,2025-11-27,2026-01-13,0,0,,,0,1,,,0,0,,,0,,,2025-12-31,2025-12-31
"ABOS Traffic - #2","Broad JP Cities","JD Konnichiwa Video - Copy",2025-12-31,not_delivering,ad,0,0,0,"7-day click or 1-day view",,,0,,2025-12-26,2026-01-13,0,0,,,,,,,0,,,,0,,,2025-12-31,2025-12-31
"ABOS Traffic - #2","Broad JP Cities","JD announcement date post",2025-12-31,not_delivering,ad,3,3,1,"7-day click or 1-day view",,,0,,2025-12-26,2026-01-13,0,0,,0,,,,,,,,,0,,,2025-12-31,2025-12-31
Sales,"Zaiko Test - Account Engagers - Broad","Black and white photo",2025-12-31,not_delivering,ad,0,0,0,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",1,0,0,2025-12-08,2025-12-31,0,0,,,0,1,,,0,0,,,0,,,2025-12-31,2025-12-31
"ABOS Sales Campaign","Retarg [engagers] - Jan 14","JD Graffiti Paint - Copy",2025-12-30,not_delivering,ad,0,0,0,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",1,0,0,2025-12-06,2026-01-19,0,0,,,0,1,,,0,0,,,0,,,2025-12-30,2025-12-30
Sales,"Web Audience Retarg","JD Konnichiwa Video",2025-12-30,not_delivering,ad,0,0,0,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",1,0,0,2025-11-27,2026-01-13,0,0,,,0,1,,,,0,,,0,,,2025-12-30,2025-12-30
"ABOS Traffic - #2","Broad JP Cities","JD Konnichiwa Video - Copy",2025-12-30,not_delivering,ad,0,0,0,"7-day click or 1-day view",,,0,,2025-12-26,2026-01-13,0,0,,,,,,,0,,,,0,,,2025-12-30,2025-12-30
Sales,"Zaiko Test - Account Engagers - Broad","Flexible 3 Groups",2025-12-30,not_delivering,ad,0,0,0,"7-day click, 1-day view, or 1-day engaged-view",,,0,,2025-12-08,2025-12-31,0,0,,,,,,,0,,,,0,,,2025-12-30,2025-12-30
Sales,"Web Audience Retarg","Flexible 3 Groups",2025-12-30,not_delivering,ad,0,0,0,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",1,0,0,2025-11-27,2026-01-13,0,0,,,0,1,,,0,0,,,0,,,2025-12-30,2025-12-30
"ABOS Traffic - #2","Broad JP Cities","JD announcement date post",2025-12-29,not_delivering,ad,48,48,1,"7-day click or 1-day view","Landing page views",1,19,19,2025-12-26,2026-01-13,0,0,19,395.83333333,,,1,19,,,1,19,100,1,2.08333333,2025-12-29,2025-12-29
"ABOS Traffic - #2","Broad JP Cities","JD with Skeleton Confetti",2025-12-29,not_delivering,ad,46,46,1,"7-day click or 1-day view","Landing page views",3,12,4,2025-12-26,2026-01-13,0,0,4,260.86956522,,,3,4,,,3,4,100,3,6.52173913,2025-12-29,2025-12-29
Sales,"Web Audience Retarg","Poster [Redirect link]",2025-12-29,not_delivering,ad,7,7,1,"7-day click, 1-day view, or 1-day engaged-view",,,3,,2025-11-27,2026-01-13,0,0,,428.57142857,,,,,,,,,0,,,2025-12-29,2025-12-29
Sales,"Zaiko Test - Account Engagers - Broad","Black and white photo",2025-12-29,not_delivering,ad,79,89,1.12658228,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",4,50,12.5,2025-12-08,2025-12-31,200,200,25,561.79775281,12.5,4,2,25,7.14285714,10,2,25,100,2,2.53164557,2025-12-29,2025-12-29
"ABOS Traffic - #2","Broad JP Cities","Black and white photo",2025-12-29,not_delivering,ad,73,74,1.01369863,"7-day click or 1-day view","Landing page views",4,25,6.25,2025-12-26,2026-01-13,0,0,6.25,337.83783784,,,4,6.25,,,4,6.25,100,4,5.47945205,2025-12-29,2025-12-29
Sales,"Zaiko Test - Account Engagers - Broad","Flexible 3 Groups",2025-12-29,not_delivering,ad,0,0,0,"7-day click, 1-day view, or 1-day engaged-view",,,0,,2025-12-08,2025-12-31,0,0,,,,,,,0,,,,0,,,2025-12-29,2025-12-29
"ABOS Sales Campaign","Retarg [engagers] - Jan 14","JD Painting Video - Copy",2025-12-29,not_delivering,ad,0,0,0,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",1,0,0,2025-12-06,2026-01-19,0,0,,,0,1,,,0,0,,,0,,,2025-12-29,2025-12-29
Sales,"Zaiko Test - Account Engagers - Broad","JD Konnichiwa Video",2025-12-29,not_delivering,ad,2,2,1,"7-day click, 1-day view, or 1-day engaged-view",,,2,,2025-12-08,2025-12-31,0,0,,1000,,,,,,,,,0,,,2025-12-29,2025-12-29
Sales,"JD Interest","Flexible 3 Groups",2025-12-29,not_delivering,ad,5,5,1,"7-day click or 1-day view","Website purchases",1,0,0,2025-12-17,2026-01-13,0,0,,0,0,1,,,,0,,,0,,,2025-12-29,2025-12-29
"ABOS Traffic - #2","Broad JP Cities","JD Konnichiwa Video - Copy",2025-12-29,not_delivering,ad,1606,1634,1.01743462,"7-day click or 1-day view","Landing page views",122,653,5.35245902,2025-12-26,2026-01-13,0,0,5.88288288,399.63280294,,,111,5.99082569,,,122,5.35245902,109.90990991,109,6.78704857,2025-12-29,2025-12-29
Sales,"JD Interest","Black and white photo - Copy",2025-12-29,not_delivering,ad,3,4,1.33333333,"7-day click or 1-day view",,,3,,2025-12-17,2026-01-13,0,0,,750,,,,,,,,,0,,,2025-12-29,2025-12-29
"ABOS Traffic - #2","Broad JP Cities","Hello Tokyo - Copy",2025-12-29,not_delivering,ad,2,2,1,"7-day click or 1-day view",,,0,,2025-12-26,2026-01-13,0,0,,0,,,,,,,,,0,,,2025-12-29,2025-12-29
Sales,"Web Audience Retarg","Poster [Redirect link] + related Media",2025-12-29,not_delivering,ad,27,28,1.03703704,"7-day click, 1-day view, or 1-day engaged-view",,,14,,2025-11-27,2026-01-13,0,0,,500,,,,,,,,,0,,,2025-12-29,2025-12-29
Sales,"Web Audience Retarg","Flexible 3 Groups",2025-12-29,not_delivering,ad,19,26,1.36842105,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",3,21,7,2025-11-27,2026-01-13,0,0,,807.69230769,7,3,,,7,7,,,0,,,2025-12-29,2025-12-29
