"Campaign name","Ad set name","Ad name",Day,"Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (JPY)","Cost per result",Starts,Ends,"Purchases rate per link clicks","Purchases rate per landing page views","CPC (cost per link click)","CPM (cost per 1,000 impressions)","Cost per purchase",Purchases,"Link clicks","Cost per unique link click","Cost per add to cart","Cost per checkout initiated","Landing page views","Cost per landing page view","Landing page views rate per link clicks","Unique link clicks","Unique CTR (link click-through rate)","Adds to cart","Checkouts initiated",Leads,"Cost per lead","Result rate",Views,Viewers,"Results rate per link clicks","Ad Delivery","Campaign Delivery","Ad set delivery","Quality ranking","Engagement rate ranking","Video average play time","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Cost per 3-second video play","Cost per ThruPlay","Outbound clicks","Unique outbound clicks","CTR (link click-through rate)","Outbound CTR (click-through rate)","Unique outbound CTR (click-through rate)","Unique CTR (all)","Unique clicks (all)","Instagram profile visits","Ad recall lift","Ad recall lift rate",Bid,"Bid type","Buying type","Performance goal",Objective,"Reporting starts","Reporting ends","Campaign Budget","Campaign Budget Type"
"Sales - Copy","Zaiko + InBound (English) - Copy","Poster [Redirect link] + related Media",2026-01-31,not_delivering,ad,3944,4256,1.07910751,"7-day click or 1-day view",,,2868,,2026-01-28,Ongoing,0,0,30.5106383,673.87218045,,,94,30.83870968,717,,86,33.34883721,91.4893617,93,2.35801217,4,,25,114.72,,4267,3944,,not_delivering,inactive,not_delivering,-,-,3,,,,,,75.47368421,717,94,93,2.20864662,2.20864662,2.35801217,3.09330629,122,36,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-01-31,2026-01-31,100000,Daily
"Sales - Copy","Zaiko + InBound (English) - Copy","JD Spray Painting Ground - Copy",2026-01-31,not_delivering,ad,36,40,1.11111111,"7-day click or 1-day view",,,41,,2026-01-28,Ongoing,0,0,,1025,,,,,,,,,0,,,,,,,,41,36,,not_delivering,inactive,not_delivering,-,-,,,,,,,,,,,,,,5.55555556,2,0,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-01-31,2026-01-31,100000,Daily
"Sales - Copy","Web Audience Retarg","Flexible 3 Groups",2026-01-31,not_delivering,ad,0,0,0,"7-day click, 1-day view, or 1-day engaged-view",,,0,,2026-01-21,Ongoing,0,0,,,,,,,,,,,0,,,,,1,0,,0,0,,not_delivering,inactive,not_delivering,-,-,,,,,,,,,,,,,,,0,0,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-01-31,2026-01-31,100000,Daily
"Sales - Copy","Web Audience Retarg","Poster [Redirect link] + related Media",2026-01-31,not_delivering,ad,144,152,1.05555556,"7-day click, 1-day view, or 1-day engaged-view",,,146,,2026-01-21,Ongoing,0,0,29.2,960.52631579,,,5,29.2,,,5,29.2,100,5,3.47222222,,,1,146,,152,140,,not_delivering,inactive,not_delivering,-,-,7,10,6,3,2,,3.47619048,12.16666667,5,5,3.28947368,3.28947368,3.47222222,4.86111111,7,2,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-01-31,2026-01-31,100000,Daily
"Sales - Copy","Zaiko + InBound (English) - Copy","Poster [Redirect link]",2026-01-31,not_delivering,ad,951,1120,1.17770768,"7-day click or 1-day view","Website purchases",3,868,289.33333333,2026-01-28,Ongoing,16.66666667,17.64705882,48.22222222,775,289.33333333,3,18,57.86666667,289.33333333,868,17,51.05882353,94.44444444,15,1.57728707,3,1,3,289.33333333,0.26785714,1124,951,16.66666667,not_delivering,inactive,not_delivering,-,-,,,,,,,,,18,15,1.60714286,1.60714286,1.57728707,4.52155626,43,11,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-01-31,2026-01-31,100000,Daily
"Sales - Copy","Web Audience Retarg","JD Graffiti Paint - Copy",2026-01-31,not_delivering,ad,7,8,1.14285714,"7-day click, 1-day view, or 1-day engaged-view",,,4,,2026-01-21,Ongoing,0,0,4,500,,,1,4,,,1,4,100,1,14.28571429,,,1,4,,8,7,,not_delivering,inactive,not_delivering,-,-,,,,,,,,,1,1,12.5,12.5,14.28571429,14.28571429,1,0,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-01-31,2026-01-31,100000,Daily
"Sales - Copy","Zaiko + InBound (English) - Copy","JD Painting Video - Copy",2026-01-31,not_delivering,ad,147,168,1.14285714,"7-day click or 1-day view",,,194,,2026-01-28,Ongoing,0,0,17.63636364,1154.76190476,,,11,24.25,194,,5,38.8,45.45454545,8,5.44217687,1,,1,194,,173,139,,not_delivering,inactive,not_delivering,-,-,12,33,22,18,16,15,2.69444444,5.87878788,11,8,6.54761905,6.54761905,5.44217687,5.44217687,8,0,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-01-31,2026-01-31,100000,Daily
"Sales - Copy","Custom Audience (Video + Interaction + LP)","JD Graffiti Paint - Copy",2026-01-31,not_delivering,ad,15,15,1,"7-day click or 1-day view",,,10,,2026-01-26,Ongoing,0,0,10,666.66666667,,,1,10,,,1,10,100,1,6.66666667,,,,,,15,15,,not_delivering,inactive,not_delivering,-,-,,,,,,,,,1,1,6.66666667,6.66666667,6.66666667,6.66666667,1,0,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-01-31,2026-01-31,100000,Daily
"Sales - Copy","Custom Audience (Video + Interaction + LP)","Flexible 3 Groups",2026-01-31,not_delivering,ad,3783,4998,1.32117367,"7-day click or 1-day view",,,5074,,2026-01-26,Ongoing,0,0,52.85416667,1015.20608243,,,96,54.55913978,2537,2537,70,72.48571429,72.91666667,93,2.45836638,2,2,30,169.13333333,,5032,3719,,not_delivering,inactive,not_delivering,-,-,7,173,78,51,16,13,7.94053208,21.05394191,96,93,1.92076831,1.92076831,2.45836638,5.86835845,222,88,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-01-31,2026-01-31,100000,Daily
"Sales - Copy","Custom Audience (Video + Interaction + LP)","JD Konnichiwa Video",2026-01-31,not_delivering,ad,11,11,1,"7-day click or 1-day view",,,4,,2026-01-26,Ongoing,0,0,,363.63636364,,,,,,,,,0,,,,,,,,11,11,,not_delivering,inactive,not_delivering,-,-,3,,,,,,4,4,,,,,,0,0,0,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-01-31,2026-01-31,100000,Daily
