Time Posted,"Image URL","Caption","Media Type (Image, Video, Carousel)","Engagements","Views","Reach","Clicks","Likes","Shares","Comments"
"Jan 14, 2026 03:58:37 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/fb-analytics/397113476816736_122176166822476622-d92988b690d364.jpg","🎬✨ MOVIE × ART SPECIAL CAMPAIGN ✨🎨⁠
あなたの 『モディリアーニ！』映画チケットで、東京で特別なジョニー・デップ体験を。⁠
この1月、ジョニー・デップの世界が映画館からエキシビション空間へと広がります。⁠
⁠
📅 キャンペーン期間⁠
1月16日〜31日⁠
⁠
🎥 対象作品⁠
ジョニー・デップ監督作品『モディリアーニ！』⁠
⁠
🎁 特典内容⁠
期間中に『モディリアーニ！』をご鑑賞のうえ、映画チケット（半券・電子チケット可）を⁠
A Bunch of Stuff by Johnny Depp 展示会場へお持ちいただくと、《当日受付で購入する入場チケット》が20％OFFになります。⁠
⁠
⚠️ ご注意ください⁠
・割引は【展示会場・当日受付でのチケット購入】のみ対象です⁠
・事前に購入された展示チケットには適用されません⁠
・チケット1枚につき1名様まで⁠
・他割引との併用不可⁠
・映画の鑑賞日と展示会の来場日は、同日でなくてもご利用いただけます⁠
⁠
🛍 グッズ販売中！⁠
展示会会場内のグッズショップでは、『モディリアーニ！』オリジナル・サウンドトラック（レコード・CD）も販売中。⁠
映画の余韻を、そのままアートと音で持ち帰れる特別なラインナップです。⁠
⁠
One artist. One city.⁠
映画を観て、アートに触れて、音楽を手に取る。⁠
この冬、映画と展示を通して広がるジョニー・デップの世界をお楽しみください。⁠
⁠
⁠
🎬✨ MOVIE × ART SPECIAL CAMPAIGN ✨🎨⁠
⁠
Your MODI movie ticket unlocks a special Johnny Depp experience.⁠
⁠
This January, Johnny Depp’s world expands beyond the cinema screen and into the exhibition space.⁠
⁠
📅 Campaign Period⁠
January 16 – January 31⁠
⁠
🎥 Eligible Film⁠
MODI, directed by Johnny Depp⁠
⁠
🎁 Special Offer⁠
Watch MODI during the campaign period and bring your movie ticket⁠ (stub or digital ticket accepted) to the A Bunch of Stuff by Johnny Depp exhibition venue.⁠
⁠
You will receive 20% OFF an exhibition admission ticket purchased at the venue on the same day.⁠
⁠
⚠️ Please Note⁠
•⁠  ⁠The discount applies only to tickets purchased at the exhibition venue on the day of your visit⁠
•⁠  ⁠Advance-purchased exhibition tickets are not eligible⁠
•⁠  ⁠One discount per movie ticket / one person only⁠
•⁠  ⁠Cannot be combined with other offers or discounts⁠
⁠
🛍 EXHIBITION GOODS⁠
At the exhibition’s merchandise shop, the original MODI soundtrack⁠ (vinyl records and CDs) is also available for purchase.⁠
⁠
Take the atmosphere of the film home with you through art and sound.⁠
⁠
One artist. One city.⁠
Watch the film. Experience the art. Discover the music.⁠
This winter, immerse yourself in the world of Johnny Depp through cinema and exhibition.

#ABunchOfStuffTokyo #JohnnyDepp #TokyoExhibition #東京 #日本展覧会","album","258","1520","798","132","59","4","11"
"Jan 8, 2026 05:16:42 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/fb-analytics/397113476816736_122175535466476622-50594992e7f0d4.jpg","成人式を迎える皆様へ、来場者限定ギフト（お連れ様も）
 
1月12日（月) 成人の日。
ご本人はもちろん、ご一緒に来場される皆さまにも、
それぞれ無料ギフトをプレゼントいたします。
 
新たな一歩を祝う特別な一日。
あなた自身の物語が始まるその瞬間に寄り添う、
ジョニー・デップの自己表現の軌跡を体験してください。
 
【条件】
・ギフトショップカウンターにて、20歳であることが確認できる有効な身分証明書の提示が必要
・当日チケット購入者のみ対象
・備考（注記）： 2025年4月2日〜2026年4月1日の期間に、20歳である方／20歳になる方を対象
・プロモーション期間： 1ヶ月（2026年1月12日〜2026年2月12日）
 
---------
 
Coming of Age Day Special—FREE gifts for those celebrating Coming of Age + their guests.
 
This January 12th (Mon) visit us in celebration of Coming of Age Day! You and your guests will each receive a FREE GIFT upon visiting.
 
A day to celebrate a new step forward. At the moment you step into your own story, experience the journey of Johnny Depp’s self-expression that stands beside you.
 
Conditions are as follows: 
•  Promotion for people who is or will be 20 years of age from 2nd April 2025 until 1st April 2026
•  Promotion duration: 1 month. From 12 Jan 2026 until 12 Feb 2026
•  Must present a valid ID that confirms you are 20 years old at the Gift Shop counter.
•  Limited to same-day ticket purchasers only.","photo","165","2163","1203","63","60","6","6"
"Jan 5, 2026 02:34:05 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/fb-analytics/397113476816736_122175246926476622-bcec89ebf10721.jpg","https://abunchofstuff.com/ja特別展：ジョニー・デップ⁠
『A Bunch of Stuff』展 ⁠
スターではなく、アーティストとしての真実⁠
静かにその扉が開く⁠
⁠
チケットはこちら: https://abunchofstuff.com/ja⁠
⁠
このエキシビションはSilk the Rich (@silk_therich)の提供での開催。⁠
公式パートナー:ファミリーマート、Hot Toys、JPS Gallery, Coracho Tequila⁠
⁠
Special Exhibition: Johnny Depp⁠
A Bunch of Stuff⁠
⁠
The truth of the artist, not the star⁠
Discover Johnny Depp’s artistic mind. ⁠
⁠
Get your tickets: https://abunchofstuff.com/ja
⁠
#ABunchOfStuff #JohnnyDepp #ArtExhibition #東京 #日本展覧会","photo","326","2732","1487","132","104","5","21"
"Jan 3, 2026 10:43:35 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/fb-analytics/397113476816736_122175039860476622-137d5188f0ef19.jpg","静かなリマインダーが囁く、⁠
全ての物語には、終わりがある。⁠
⁠
だからこそ目を向けてほしいんです、⁠
使い込まれた物、残された手紙、⁠
何気なく持ち続けていたものが、⁠
あなたを支えていたことに気づく時。⁠
⁠
ここでは、私的なものが可視化される。⁠
大切に抱えられてきた持ち物達が、いま展示される。⁠
⁠
ジョニー・デップの、最もパーソナルな所蔵品を体験。⁠
A Bunch of Stuff 東京⁠
チケットはプロフィールリンクから。⁠
⁠
A quiet reminder: every story ends.⁠
So pay attention to what remains—⁠
the worn-in objects, the kept letters,⁠
the things you carried without thinking⁠
until they carried you.⁠
⁠
Here, the personal becomes visible:⁠
belongings held close, now held in view.⁠
⁠
Experience Johnny Depp’s most personal belongings.⁠
A Bunch of Stuff Tokyo. ⁠
Get your tickets via link in bio.","photo","220","1976","996","92","63","4","19"
"Dec 31, 2025 11:15:39 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/fb-analytics/397113476816736_122174771042476622-59380c56f591ce.jpg","新年特別ギフト !
⁠
1月2日〜10日の期間中に⁠
『A Bunch of Stuff』展示会へ
ご来場のチケット保持者に⁠
プレゼントをご用意しております！⁠
⁠
中身は数量限定の
スペシャルサプライズ。⁠
なくなり次第終了です。⁠
⁠
1月初旬のチケットはお早めに。⁠
詳細はこちら: https://www.abunchofstuff.com
⁠
New Year Special Gift!

A surprise is waiting for all ticket holders who come and visit the A Bunch fo Stuff Gallery between January 2nd and January 10th. There’s a special surprise inside that’s only available while supplies last!⁠
⁠
Get your tickets for early January today to reserve your spot: https://www.abunchofstuff.com
⁠
#ABunchOfStuff #JohnnyDepp #TokyoExhibition #東京 #日本展覧会","photo","267","2775","1418","134","72","10","12"
"Dec 30, 2025 10:00:06 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/fb-analytics/397113476816736_122174678282476622-8b37e4cc1014e6.jpg","期間限定・LIMITED EDITION｜新作入荷！⁠
⁠
「A Bunch of Stuff」東京限定Tシャツが、期間限定で登場。
ジョニー・デップの日本展の記念アイテムを、ぜひお持ち帰りください。
 
本商品は日本限定・数量限定。
1月15日まで（在庫がなくなり次第終了）、会場内ギフトショップにて販売中です。
※当日有効の展覧会チケットをお持ちの方のみ購入可能
 
高輪ゲートウェイにて鑑賞後はショップへお立ち寄りください。
チケットはこちら: abunchofstuff.com/ja

LIMITED EDITION NEW ARRIVAL!⁠
⁠
The A Bunch of Stuff Tokyo-exclusive tee is now available for a LIMITED TIME! Take home a piece of Johnny Depp’s Japan art exhibition.  The limited-edition, Japan-exclusive A Bunch of Stuff Tokyo shirt is available in stores now through Jan 15 (while supplies last). Available only to guests with a same-day exhibition ticket.

Visit Takanawa Gateway and grab yours after the show. Only in stores for a limited time. Get your ticket: abunchofstuff.com","album","226","1884","1039","118","63","4","10"
"Dec 29, 2025 06:40:02 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/fb-analytics/397113476816736_122174623538476622-0ea0fcc2996076.jpg","オープン真っ最中！⁠
オープン日：12月31日・1月2日・1月3日・1月4日⁠
⁠
『A Bunch of Stuff』はホリデー期間も開催中。⁠
お仕事を休んだりする必要はありません。⁠
⁠
ジョニー・デップの個人的な作品と、⁠
その創作の源となったオブジェクトの数々を拝見・体験してください。⁠
⁠
最もあなたの心に響く作品は、どれでしょうか？⁠
⁠
チケット: http://abunchofstuff.com/ja￼","photo","291","2260","1209","124","88","5","13"
"Dec 26, 2025 05:50:45 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/fb-analytics/397113476816736_122174337188476622-7f162c118b2d8d.jpg","特別展：ジョニー・デップ⁠
『A Bunch of Stuff』展 ⁠
⁠
スターではなく、アーティストの真実。⁠
ただいま開幕中。チケットはプロフィールリンクから。⁠
⁠
“Special Exhibition: Johnny Depp⁠
A Bunch of Stuff⁠
⁠
The truth of the artist, not the star⁠
Doors now open, tickets via link in bio.⁠
⁠
#ABunchOfStuff #JohnnyDepp #TokyoExhibition #東京 #日本展覧会","photo","224","2749","1575","88","72","5","9"
"Dec 24, 2025 09:05:54 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/fb-analytics/397113476816736_122174132360476622-3760740803f0ec.jpg","ジョニー・デップが30年にわたり描き続けてきた⁠
個人的なアートを一挙公開。⁠
60点以上にも並ぶ作品、⁠
シネマティックなブラックボックス、テーマ別ギャラリー、⁠
そして限定グッズ。⁠
⁠
すべてを体験できるのは、東京だけ・期間限定。⁠
⁠
このエキシビションはSilk the Rich (@silk_therich)の提供での開催。⁠
公式パートナー:ファミリーマート、Hot Toys、JPS Gallery, Coracho Tequila⁠
@johnnydepp @familymart.japan @hottoyscollectibles, @hottoys_japan, @corachotequila, @corachotequila.japan, @jpsgallery⁠
⁠
Explore 30 years of Johnny Depp’s personal art in A Bunch of Stuff — over 60 works, a cinematic Black Box, themed galleries, and exclusive merch. Limited time only in Tokyo.⁠
⁠
#ABunchOfStuff #JohnnyDepp #TokyoExhibition #東京 #日本展覧会","photo","204","1875","1019","47","76","6","13"
"Dec 20, 2025 01:27:35 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/fb-analytics/397113476816736_122173755830476622-c8b7a6f76dc4d3.jpg","特別展：ジョニー・デップ
『A Bunch of Stuff』展
余白と光が紡ぐ内省の美学
個人史を刻む“総合芸術”の試み

このエキシビションはSilk the Rich (@silk_therich)の提供での開催。
公式パートナー:ファミリーマート、Hot Toys、JPS Gallery
@johnnydepp @familymart.japan @hottoyscollectibles, @hottoys_japan, @corachotequila, @corachotequila.japan, @jpsgallery 

Special Exhibition: Johnny Depp
A Bunch of Stuff

An introspective aesthetic woven from space and light
A Gesamtkunstwerk marking his personal history.

Tickets on sale now, link in bio.

#ABunchOfStuff #JohnnyDepp #TokyoExhibition #ImmersiveArt #日本展覧会","album","227","1901","931","78","77","5","10"
